name,version_number,release_date
DF 51.01-beta12,51.01-beta12,2024-04-17
DF 51.01-beta13,51.01-beta13,2024-04-21
DF 51.01-beta14,51.01-beta14,2024-05-15
DF 51.01-beta15,51.01-beta15,2024-06-17
DF 51.01-beta18,51.01-beta18,2024-06-26
DF 51.01-beta19,51.01-beta19,2024-07-17
DF 51.01-beta20,51.01-beta20,2024-08-14
DF 51.01-beta21,51.01-beta21,2024-08-28
DF 51.01-beta22,51.01-beta22,2024-09-04
DF 51.01-beta23,51.01-beta23,2024-09-30
DF 51.01-beta24,51.01-beta24,2024-10-23
DF 51.01-beta25,51.01-beta25,2024-11-24
DF 51.01-beta26,51.01-beta26,2024-11-27
DF 51.01-beta27,51.01-beta27,2024-12-02
